,95_per,loss,m95_per,mae,mare,max_ae
0,7.339549,18.77248,7.841262,3.431402,1.6769073,10.853512
1,0.20434958,0.07408751,0.2976615,0.07287148,168908.08,0.91327274
2,0.117465705,0.012186246,0.18960592,0.035836812,20309.521,0.87764364
3,0.09785655,0.007650042,0.16294137,0.028913373,256306.89,0.71265185
4,0.057632495,0.0010267445,0.1008681,0.017381283,0.8500291,0.45704758
5,0.049390953,0.00077558495,0.08760993,0.014723816,4893.349,0.42245516
6,0.044977657,0.0006550773,0.08041673,0.013235718,0.33456382,0.40329644
7,0.041178823,0.0005513182,0.07397872,0.012022908,0.334246,0.38748458
8,0.037613947,0.0004634246,0.067803875,0.010892857,0.30069518,0.3743088
9,0.03440395,0.0003815096,0.061863154,0.009887647,0.44380578,0.36030164
10,0.03147765,0.00031653445,0.05658745,0.008923197,0.41763476,0.3468641
11,0.028612673,0.00025680402,0.05143511,0.007980008,0.30183217,0.3345021
12,0.025853902,0.00020214752,0.046368442,0.0070803636,0.57324713,0.32275182
13,0.023605391,0.00016303532,0.042236436,0.0063175005,8923.98,0.3119289
14,0.021790149,0.00013619885,0.03909599,0.0056857215,11134.5205,0.30171865
15,0.020421462,0.00011733914,0.0367181,0.005199165,0.43568984,0.29613483
16,0.019530855,0.00010694016,0.035245176,0.004861604,0.29639667,0.29079095
17,0.019026175,0.00010127897,0.03444392,0.004645182,2289.4597,0.28748554
18,0.01880967,9.9037345e-05,0.034127012,0.004536678,1267.0092,0.28542376
19,0.018773908,9.867625e-05,0.034075323,0.00451638,7082.741,0.28598505
20,0.018771207,9.866902e-05,0.03407212,0.0045161196,0.24683535,0.28495073
