import time: self [us] | cumulative | imported package
import time:       810 |        810 |   _io
import time:        23 |         23 |   marshal
import time:      1096 |       1096 |   posix
import time:       613 |       2539 | _frozen_importlib_external
import time:       920 |        920 |   time
import time:       135 |       1054 | zipimport
import time:       285 |        285 |     _codecs
import time:       846 |       1131 |   codecs
import time:       608 |        608 |   encodings.aliases
import time:      1991 |       3728 | encodings
import time:       495 |        495 | encodings.utf_8
import time:        98 |         98 | _signal
import time:        40 |         40 |     _abc
import time:       393 |        433 |   abc
import time:       218 |        651 | io
import time:       394 |        394 |       _stat
import time:        85 |        478 |     stat
import time:      1199 |       1199 |     _collections_abc
import time:        23 |         23 |       genericpath
import time:      1132 |       1154 |     posixpath
import time:       415 |       3245 |   os
import time:        79 |         79 |   _sitebuiltins
import time:      4055 |       4055 |   _distutils_hack
import time:       768 |        768 |   types
import time:       456 |        456 |       warnings
import time:       538 |        993 |     importlib
import time:       506 |        506 |     importlib._abc
import time:      1105 |       1105 |         itertools
import time:       231 |        231 |         keyword
import time:        55 |         55 |           _operator
import time:       497 |        551 |         operator
import time:       258 |        258 |         reprlib
import time:        71 |         71 |         _collections
import time:       730 |       2944 |       collections
import time:        29 |         29 |         _functools
import time:       540 |        568 |       functools
import time:       971 |       4483 |     contextlib
import time:       102 |       6083 |   importlib.util
import time:        27 |         27 |   importlib.machinery
import time:       102 |        102 |   sitecustomize
import time:        33 |         33 |   usercustomize
import time:     10807 |      25195 | site
import time:     24731 |      24731 |   spice
import time:     44067 |      68798 | spice.models
import time:       382 |        382 |       __future__
import time:      1541 |       1541 |         math
import time:      1986 |       1986 |         _datetime
import time:      1315 |       4842 |       datetime
import time:      1228 |       1228 |             enum
import time:        64 |         64 |               _sre
import time:       592 |        592 |                 re._constants
import time:       574 |       1166 |               re._parser
import time:       206 |        206 |               re._casefix
import time:       587 |       2021 |             re._compiler
import time:       314 |        314 |             copyreg
import time:       712 |       4274 |           re
import time:       319 |       4592 |         fnmatch
import time:        71 |         71 |           _winapi
import time:        53 |         53 |           nt
import time:        47 |         47 |           nt
import time:        44 |         44 |           nt
import time:        61 |         61 |           nt
import time:        51 |         51 |           nt
import time:        69 |        392 |         ntpath
import time:        29 |         29 |         errno
import time:       267 |        267 |           urllib
import time:      1260 |       1260 |           ipaddress
import time:       922 |       2449 |         urllib.parse
import time:       736 |       8196 |       pathlib
import time:        43 |         43 |           _locale
import time:       686 |        728 |         locale
import time:       496 |        496 |         signal
import time:       280 |        280 |           _weakrefset
import time:       611 |        891 |         threading
import time:      1284 |       1284 |         fcntl
import time:        61 |         61 |         msvcrt
import time:      1307 |       1307 |         _posixsubprocess
import time:      1007 |       1007 |         select
import time:       261 |        261 |           collections.abc
import time:       460 |        720 |         selectors
import time:       768 |       7259 |       subprocess
import time:     49311 |      69988 |     jax.version
import time:     25039 |      25039 |       jax._src
import time:       240 |        240 |                 token
import time:       799 |       1039 |               tokenize
import time:       247 |       1285 |             linecache
import time:       713 |        713 |             textwrap
import time:       584 |       2581 |           traceback
import time:       411 |        411 |           weakref
import time:        21 |         21 |             _string
import time:       516 |        537 |           string
import time:        19 |         19 |           atexit
import time:      1315 |       4861 |         logging
import time:      1124 |       1124 |           _typing
import time:      1794 |       2917 |         typing
import time:        86 |         86 |                   org
import time:        25 |        111 |                 org.python
import time:        16 |        126 |               org.python.core
import time:       972 |       1098 |             copy
import time:       781 |        781 |                 _ast
import time:      1436 |       2216 |               ast
import time:      2828 |       2828 |                   _opcode
import time:       806 |       3633 |                 opcode
import time:      1405 |       5038 |               dis
import time:      2484 |       9737 |             inspect
import time:      2710 |      13544 |           dataclasses
import time:     26693 |      40236 |         jax._src.deprecations
import time:        56 |         56 |           gc
import time:     27445 |      27445 |             jaxlib.version
import time:     28978 |      56423 |           jaxlib
import time:    207095 |     207095 |           jaxlib.cpu_feature_guard
import time:      7490 |       7490 |                     numpy.version
import time:     10661 |      10661 |                     numpy._expired_attrs_2_0
import time:      5493 |       5493 |                         numpy._utils._convertions
import time:      5182 |      10674 |                       numpy._utils
import time:      5172 |      15845 |                     numpy._globals
import time:        25 |         25 |                       numpy._distributor_init_local
import time:      6201 |       6226 |                     numpy._distributor_init
import time:      5732 |       5732 |                               numpy.exceptions
import time:      6711 |       6711 |                               numpy._core._exceptions
import time:     14887 |      14887 |                                   _contextvars
import time:      6636 |      21523 |                                 contextvars
import time:      4357 |      25879 |                               numpy._core.printoptions
import time:      6437 |       6437 |                               numpy.dtypes
import time:     35439 |      80196 |                             numpy._core._multiarray_umath
import time:     11880 |      11880 |                               numpy._utils._inspect
import time:      7280 |      19160 |                             numpy._core.overrides
import time:      6094 |     105449 |                           numpy._core.multiarray
import time:      7026 |       7026 |                           numpy._core.umath
import time:       934 |        934 |                             numbers
import time:      5854 |       5854 |                             numpy._core._dtype
import time:      4078 |       4078 |                             numpy._core._string_helpers
import time:      3814 |       3814 |                             numpy._core._type_aliases
import time:      4386 |      19064 |                           numpy._core.numerictypes
import time:      2005 |       2005 |                                         _struct
import time:       431 |       2435 |                                       struct
import time:       958 |        958 |                                       _compat_pickle
import time:      3059 |       3059 |                                       _pickle
import time:       116 |        116 |                                           org
import time:        17 |        133 |                                         org.python
import time:        16 |        148 |                                       org.python.core
import time:      1793 |       8391 |                                     pickle
import time:      4324 |      12715 |                                   numpy._core._methods
import time:      5524 |      18239 |                                 numpy._core.fromnumeric
import time:      6442 |      24680 |                               numpy._core.shape_base
import time:      6785 |       6785 |                               numpy._core._ufunc_config
import time:      4236 |       4236 |                               numpy._core._asarray
import time:      5576 |       5576 |                               numpy._core.arrayprint
import time:      4745 |      46020 |                             numpy._core.numeric
import time:      5252 |      51271 |                           numpy._core.einsumfunc
import time:      4243 |       4243 |                           numpy._core.function_base
import time:      6445 |       6445 |                           numpy._core.getlimits
import time:      3670 |       3670 |                           numpy._core.memmap
import time:      4203 |       4203 |                           numpy._core.records
import time:     10090 |      10090 |                           numpy._core._add_newdocs
import time:      4593 |       4593 |                           numpy._core._add_newdocs_scalars
import time:      7295 |       7295 |                           numpy._core._dtype_ctypes
import time:      4402 |       4402 |                               _ctypes
import time:      1201 |       1201 |                               ctypes._endian
import time:      1767 |       7369 |                             ctypes
import time:      4635 |      12003 |                           numpy._core._internal
import time:      7647 |       7647 |                           numpy._pytesttester
import time:      5665 |     248660 |                         numpy._core
