Filter,AB Magnitude,ST Magnitude,Vega Magnitude
johnson_cousins_u,3.2337646,3.224198,0.0
johnson_cousins_b,3.7931042,3.801719,0.0
johnson_cousins_v,3.4845972,3.488306,0.0
johnson_cousins_r,3.2726314,3.2752817,0.0
johnson_cousins_i,3.083166,3.0852547,0.0
tycho_bt,3.816944,3.8077,0.0
tycho_vt,3.5219915,3.529149,0.0
gaia_g,3.5132413,0.0,3.3995633
gaia_rp,3.4789143,0.0,3.1228275
gaia_bp,3.5607407,0.0,3.5453274
sdss_u,4.001302,3.0825977,0.0
sdss_g,3.5827363,3.251747,0.0
sdss_r,3.4303424,3.6921852,0.0
sdss_i,3.4588811,4.1410747,0.0
sdss_z,3.554355,4.610222,0.0
2mass_j,4.331735,5.6396174,2.9601324
2mass_h,5.3372455,6.645128,2.9157026
2mass_ks,6.355554,7.6634364,2.8288074
galex_fuv,8.387085,5.627944,0.0
galex_nuv,5.5603642,3.6759992,0.0
lsst_u,4.015075,3.2396944,0.0
lsst_g,3.5808372,3.3845026,0.0
lsst_r,3.4377272,3.7957416,0.0
lsst_i,3.4685233,4.2363353,0.0
lsst_z,3.5434144,4.586351,0.0
lsst_y,3.6586154,4.9888754,0.0
panstarrs_ps1_g,3.561052,4.8689346,0.0
panstarrs_ps1_i,3.4598565,4.767739,0.0
panstarrs_ps1_r,3.4322374,4.7401195,0.0
panstarrs_ps1_w,3.486629,4.7945113,0.0
panstarrs_ps1_y,3.6284986,4.936381,0.0
panstarrs_ps1_z,3.5355036,4.843386,0.0
panstarrs_ps1_open,8.388176,9.696058,0.0
hipparcos_hp,3.5585566,3.55113,0.0
stromgren_u,4.3731933,3.0800152,0.0
stromgren_v,4.0645776,3.1135716,0.0
stromgren_b,3.7611651,3.2264078,0.0
stromgren_y,3.48636,3.4527938,0.0
bolometric,5.1807513,5.8635726,0.0
