Filter,AB Magnitude,ST Magnitude,Vega Magnitude
johnson_cousins_u,8.611703,8.602137,0.0
johnson_cousins_b,8.22718,8.235795,0.0
johnson_cousins_v,7.076965,7.0806737,0.0
johnson_cousins_r,6.3455296,6.3481803,0.0
johnson_cousins_i,5.6449943,5.6470814,0.0
tycho_bt,8.457292,8.448048,0.0
tycho_vt,7.2310033,7.2381606,0.0
gaia_g,6.7077994,0.0,6.5941215
gaia_rp,6.1251807,0.0,5.769094
gaia_bp,7.325306,0.0,7.3098927
sdss_u,9.397435,8.478732,0.0
sdss_g,7.723466,7.3924766,0.0
sdss_r,6.6487365,6.910579,0.0
sdss_i,6.162211,6.844404,0.0
sdss_z,5.890021,6.9458876,0.0
2mass_j,6.146333,7.4542155,4.77473
2mass_h,6.841871,8.149753,4.4203277
2mass_ks,7.6534724,8.961354,4.1267257
galex_fuv,20.395397,17.636257,0.0
galex_nuv,13.444741,11.560378,0.0
lsst_u,9.245395,8.470015,0.0
lsst_g,7.631051,7.434716,0.0
lsst_r,6.625516,6.98353,0.0
lsst_i,6.146683,6.9144974,0.0
lsst_z,5.913747,6.956683,0.0
lsst_y,5.766696,7.0969563,0.0
panstarrs_ps1_g,7.6091223,8.917005,0.0
panstarrs_ps1_i,6.1570563,7.4649386,0.0
panstarrs_ps1_r,6.652468,7.9603505,0.0
panstarrs_ps1_w,6.744624,8.052506,0.0
panstarrs_ps1_y,5.804212,7.1120944,0.0
panstarrs_ps1_z,5.919825,7.2277074,0.0
panstarrs_ps1_open,11.526268,12.83415,0.0
hipparcos_hp,7.1969657,7.1895394,0.0
stromgren_u,9.970315,8.677137,0.0
stromgren_v,8.825788,7.8747816,0.0
stromgren_b,7.966564,7.4318066,0.0
stromgren_y,7.101265,7.067699,0.0
bolometric,7.6074347,8.290257,0.0
