Filter,AB Magnitude,ST Magnitude,Vega Magnitude
johnson_cousins_u,5.3169904,5.307424,0.0
johnson_cousins_b,5.5197062,5.5283213,0.0
johnson_cousins_v,4.8864465,4.8901553,0.0
johnson_cousins_r,4.4831524,4.485805,0.0
johnson_cousins_i,4.099695,4.101784,0.0
tycho_bt,5.617189,5.607945,0.0
tycho_vt,4.9696712,4.976827,0.0
gaia_g,4.8110375,0.0,4.6973596
gaia_rp,4.5327983,0.0,4.1767116
gaia_bp,5.0592856,0.0,5.0438724
sdss_u,6.092857,5.174153,0.0
sdss_g,5.197126,4.866139,0.0
sdss_r,4.6903844,4.952227,0.0
sdss_i,4.5271535,5.2093472,0.0
sdss_z,4.487662,5.543529,0.0
2mass_j,5.075238,6.3831205,3.7036352
2mass_h,5.9682274,7.2761097,3.5466845
2mass_ks,6.911326,8.219208,3.384579
galex_fuv,13.072086,10.312948,0.0
galex_nuv,8.654338,6.769975,0.0
lsst_u,6.0953255,5.3199425,0.0
lsst_g,5.1734104,4.9770756,0.0
lsst_r,4.69049,5.0485044,0.0
lsst_i,4.528889,5.2967033,0.0
lsst_z,4.4892235,5.5321617,0.0
lsst_y,4.508723,5.838983,0.0
panstarrs_ps1_g,5.140736,6.4486184,0.0
panstarrs_ps1_i,4.5258574,5.8337398,0.0
panstarrs_ps1_r,4.6942053,6.0020876,0.0
panstarrs_ps1_w,4.7936053,6.1014876,0.0
panstarrs_ps1_y,4.50362,5.8115025,0.0
panstarrs_ps1_z,4.4858975,5.79378,0.0
panstarrs_ps1_open,9.68911,10.996992,0.0
hipparcos_hp,5.008494,5.001067,0.0
stromgren_u,6.53334,5.24016,0.0
stromgren_v,5.903179,4.952173,0.0
stromgren_b,5.388655,4.8538976,0.0
stromgren_y,4.891591,4.858025,0.0
bolometric,6.295598,6.9784193,0.0
